20000  2  0.322322
20000  3  0.183376
20000  4  0.149845
20000  5  0.143052
20000  6  0.144115
20000  7  0.148838
20000  8  0.164193
20000  9  0.183475
20000  10  0.197581
20000  11  0.209599
20000  12  0.225579
20000  13  0.239201
20000  14  0.255219
20000  15  0.271122
20000  16  0.281681

50000  2  0.289557
50000  3  0.152604
50000  4  0.112195
50000  5  0.101004
50000  6  0.095295
50000  7  0.096962
50000  8  0.101864
50000  9  0.112897
50000  10  0.122308
50000  11  0.130578
50000  12  0.139490
50000  13  0.148088
50000  14  0.158526
50000  15  0.165551
50000  16  0.170038

75000  2  0.258265
75000  3  0.133024
75000  4  0.094814
75000  5  0.081991
75000  6  0.076191
75000  7  0.076002
75000  8  0.079168
75000  9  0.087358
75000  10  0.093531
75000  11  0.100663
75000  12  0.107158
75000  13  0.112646
75000  14  0.120180
75000  15  0.125581
75000  16  0.128442

100000  2  0.244568
100000  3  0.123643
100000  4  0.087241
100000  5  0.073260
100000  6  0.066734
100000  7  0.066337
100000  8  0.068191
100000  9  0.074702
100000  10  0.080982
100000  11  0.086088
100000  12  0.089737
100000  13  0.094263
100000  14  0.100004
100000  15  0.105038
100000  16  0.107841

150000  2  0.223862
150000  3  0.110892
150000  4  0.075110
150000  5  0.061314
150000  6  0.055025
150000  7  0.053187
150000  8  0.054114
150000  9  0.058782
150000  10  0.062863
150000  11  0.066098
150000  12  0.069529
150000  13  0.073092
150000  14  0.076843
150000  15  0.080730
150000  16  0.082521

200000  2  0.210155
200000  3  0.103319
200000  4  0.068661
200000  5  0.055021
200000  6  0.048285
200000  7  0.046004
200000  8  0.046048
200000  9  0.050357
200000  10  0.053158
200000  11  0.055815
200000  12  0.058386
200000  13  0.060761
200000  14  0.064172
200000  15  0.066997
200000  16  0.068629
