n=25000, #threads=8, mono_threaded=124.200567ms, 8_threaded=18.009152ms, ratio=0.145001
n=25000, #threads=9, mono_threaded=124.200567ms, 9_threaded=20.141736ms, ratio=0.162171
n=25000, #threads=10, mono_threaded=124.200567ms, 10_threaded=21.842751ms, ratio=0.175867
n=25000, #threads=11, mono_threaded=124.200567ms, 11_threaded=23.511482ms, ratio=0.189303
n=25000, #threads=12, mono_threaded=124.200567ms, 12_threaded=25.298766ms, ratio=0.203693
n=25000, #threads=13, mono_threaded=124.200567ms, 13_threaded=26.760792ms, ratio=0.215464
n=25000, #threads=14, mono_threaded=124.200567ms, 14_threaded=28.589768ms, ratio=0.230190
n=25000, #threads=15, mono_threaded=124.200567ms, 15_threaded=29.562295ms, ratio=0.238021
n=25000, #threads=16, mono_threaded=124.200567ms, 16_threaded=30.838698ms, ratio=0.248298
n=30000, #threads=2, mono_threaded=182.459199ms, 2_threaded=56.514619ms, ratio=0.309738
n=30000, #threads=3, mono_threaded=182.459199ms, 3_threaded=31.021228ms, ratio=0.170017
n=30000, #threads=4, mono_threaded=182.459199ms, 4_threaded=24.095141ms, ratio=0.132058
n=30000, #threads=5, mono_threaded=182.459199ms, 5_threaded=22.578529ms, ratio=0.123746
n=30000, #threads=6, mono_threaded=182.459199ms, 6_threaded=22.024094ms, ratio=0.120707
n=30000, #threads=7, mono_threaded=182.459199ms, 7_threaded=22.827259ms, ratio=0.125109
n=30000, #threads=8, mono_threaded=182.459199ms, 8_threaded=24.608608ms, ratio=0.134872
n=30000, #threads=9, mono_threaded=182.459199ms, 9_threaded=27.566587ms, ratio=0.151084
n=30000, #threads=10, mono_threaded=182.459199ms, 10_threaded=29.472502ms, ratio=0.161529
n=30000, #threads=11, mono_threaded=182.459199ms, 11_threaded=32.100226ms, ratio=0.175931
n=30000, #threads=12, mono_threaded=182.459199ms, 12_threaded=33.830699ms, ratio=0.185415
n=30000, #threads=13, mono_threaded=182.459199ms, 13_threaded=36.546183ms, ratio=0.200298
n=30000, #threads=14, mono_threaded=182.459199ms, 14_threaded=38.8586ms, ratio=0.212971
n=30000, #threads=15, mono_threaded=182.459199ms, 15_threaded=40.585196ms, ratio=0.222434
n=30000, #threads=16, mono_threaded=182.459199ms, 16_threaded=41.644196ms, ratio=0.228238
n=35000, #threads=2, mono_threaded=252.692963ms, 2_threaded=77.444803ms, ratio=0.306478
n=35000, #threads=3, mono_threaded=252.692963ms, 3_threaded=41.991034ms, ratio=0.166174
n=35000, #threads=4, mono_threaded=252.692963ms, 4_threaded=32.605193ms, ratio=0.129031
n=35000, #threads=5, mono_threaded=252.692963ms, 5_threaded=29.902404ms, ratio=0.118335
n=35000, #threads=6, mono_threaded=252.692963ms, 6_threaded=28.882205ms, ratio=0.114298
n=35000, #threads=7, mono_threaded=252.692963ms, 7_threaded=29.613498ms, ratio=0.117192
n=35000, #threads=8, mono_threaded=252.692963ms, 8_threaded=31.641473ms, ratio=0.125217
n=35000, #threads=9, mono_threaded=252.692963ms, 9_threaded=35.527877ms, ratio=0.140597
n=35000, #threads=10, mono_threaded=252.692963ms, 10_threaded=38.234593ms, ratio=0.151308
n=35000, #threads=11, mono_threaded=252.692963ms, 11_threaded=40.855335ms, ratio=0.161680
n=35000, #threads=12, mono_threaded=252.692963ms, 12_threaded=43.65969ms, ratio=0.172778
n=35000, #threads=13, mono_threaded=252.692963ms, 13_threaded=46.874913ms, ratio=0.185501
n=35000, #threads=14, mono_threaded=252.692963ms, 14_threaded=49.645356ms, ratio=0.196465
n=35000, #threads=15, mono_threaded=252.692963ms, 15_threaded=52.082666ms, ratio=0.206110
n=35000, #threads=16, mono_threaded=252.692963ms, 16_threaded=53.913609ms, ratio=0.213356
n=40000, #threads=2, mono_threaded=335.735458ms, 2_threaded=101.806089ms, ratio=0.303233
n=40000, #threads=3, mono_threaded=335.735458ms, 3_threaded=55.017787ms, ratio=0.163872
n=40000, #threads=4, mono_threaded=335.735458ms, 4_threaded=41.482994ms, ratio=0.123559
n=40000, #threads=5, mono_threaded=335.735458ms, 5_threaded=37.386888ms, ratio=0.111358
n=40000, #threads=6, mono_threaded=335.735458ms, 6_threaded=36.457264ms, ratio=0.108589
n=40000, #threads=7, mono_threaded=335.735458ms, 7_threaded=36.991416ms, ratio=0.110180
n=40000, #threads=8, mono_threaded=335.735458ms, 8_threaded=39.272582ms, ratio=0.116975
n=40000, #threads=9, mono_threaded=335.735458ms, 9_threaded=44.028746ms, ratio=0.131141
n=40000, #threads=10, mono_threaded=335.735458ms, 10_threaded=47.467405ms, ratio=0.141383
n=40000, #threads=11, mono_threaded=335.735458ms, 11_threaded=51.492292ms, ratio=0.153372
n=40000, #threads=12, mono_threaded=335.735458ms, 12_threaded=54.827107ms, ratio=0.163304
n=40000, #threads=13, mono_threaded=335.735458ms, 13_threaded=57.361375ms, ratio=0.170853
n=40000, #threads=14, mono_threaded=335.735458ms, 14_threaded=61.335011ms, ratio=0.182689
n=40000, #threads=15, mono_threaded=335.735458ms, 15_threaded=64.597413ms, ratio=0.192406
n=40000, #threads=16, mono_threaded=335.735458ms, 16_threaded=66.164013ms, ratio=0.197072
n=45000, #threads=2, mono_threaded=436.806864ms, 2_threaded=130.023175ms, ratio=0.297667
n=45000, #threads=3, mono_threaded=436.806864ms, 3_threaded=68.913187ms, ratio=0.157766
n=45000, #threads=4, mono_threaded=436.806864ms, 4_threaded=51.331595ms, ratio=0.117516
n=45000, #threads=5, mono_threaded=436.806864ms, 5_threaded=46.672454ms, ratio=0.106849
n=45000, #threads=6, mono_threaded=436.806864ms, 6_threaded=44.50102ms, ratio=0.101878
n=45000, #threads=7, mono_threaded=436.806864ms, 7_threaded=45.468165ms, ratio=0.104092
n=45000, #threads=8, mono_threaded=436.806864ms, 8_threaded=47.913118ms, ratio=0.109689
n=45000, #threads=9, mono_threaded=436.806864ms, 9_threaded=52.882399ms, ratio=0.121066
n=45000, #threads=10, mono_threaded=436.806864ms, 10_threaded=57.334762ms, ratio=0.131259
n=45000, #threads=11, mono_threaded=436.806864ms, 11_threaded=61.220742ms, ratio=0.140155
n=45000, #threads=12, mono_threaded=436.806864ms, 12_threaded=65.582352ms, ratio=0.150140
n=45000, #threads=13, mono_threaded=436.806864ms, 13_threaded=69.51589ms, ratio=0.159146
n=45000, #threads=14, mono_threaded=436.806864ms, 14_threaded=74.61567ms, ratio=0.170821
n=45000, #threads=15, mono_threaded=436.806864ms, 15_threaded=77.849513ms, ratio=0.178224
n=45000, #threads=16, mono_threaded=436.806864ms, 16_threaded=80.317602ms, ratio=0.183874
n=50000, #threads=2, mono_threaded=556.929946ms, 2_threaded=161.262996ms, ratio=0.289557
